State and area,Civilian labor force,,,,Unemployed,,,,,,,
,July,,August,,Number,,,,Percent of labor force,,,
,2024,2025,2024,2025(p),July,,August,,July,,August,
,,,,,2024,2025,2024,2025(p),2024,2025,2024,2025(p)
Sioux Falls,"178,486","179,331","175,911","176,989","2,818","3,086","3,174","3,814",1.6,1.7,1.8,2.2
Tennessee,"3,446,401","3,514,988","3,420,771","3,506,861","135,840","155,072","127,729","125,017",3.9,4.4,3.7,3.6
Chattanooga,"295,388","297,770","291,544","295,950","10,652","11,959","10,297","10,185",3.6,4,3.5,3.4
Clarksville,"139,898","142,669","139,787","141,924","6,460","7,332","6,144","5,944",4.6,5.1,4.4,4.2
Cleveland,"56,679","57,554","55,613","57,175","2,401","2,742","2,234","2,195",4.2,4.8,4,3.8
Jackson,"79,008","80,493","78,172","79,803","3,435","4,017","3,316","3,213",4.3,5,4.2,4
Johnson City,"96,524","97,881","95,979","98,157","3,772","4,440","3,742","3,571",3.9,4.5,3.9,3.6
Kingsport-Bristol,"133,402","134,775","133,088","135,096","5,402","6,014","5,148","5,159",4,4.5,3.9,3.8
Knoxville,"456,276","467,834","451,727","465,345","16,117","18,652","15,607","14,880",3.5,4,3.5,3.2
Memphis,"633,285","638,429","626,478","635,592","30,566","34,304","28,690","28,962",4.8,5.4,4.6,4.6
Morristown,"54,325","55,363","53,681","54,888","2,119","2,486","2,022","1,976",3.9,4.5,3.8,3.6
Nashville-Davidson--Murfreesboro--Franklin,"1,171,164","1,196,600","1,164,191","1,194,506","38,140","43,802","36,231","35,787",3.3,3.7,3.1,3
Texas,"15,681,116","15,829,036","15,675,864","15,885,187","712,239","671,937","697,032","740,574",4.5,4.2,4.4,4.7
Abilene,"86,793","88,418","86,718","88,851","3,370","3,196","3,334","3,510",3.9,3.6,3.8,4
Amarillo,"137,667","139,746","138,579","139,800","4,832","4,522","4,798","5,048",3.5,3.2,3.5,3.6
Austin-Round Rock-San Marcos,"1,513,167","1,518,699","1,509,020","1,523,383","57,457","53,318","57,594","59,725",3.8,3.5,3.8,3.9
Beaumont-Port Arthur,"183,530","185,060","183,784","185,808","11,376","9,896","10,958","10,902",6.2,5.3,6,5.9
Brownsville-Harlingen,"191,755","197,272","191,187","198,292","11,060","14,246","10,579","14,845",5.8,7.2,5.5,7.5
College Station-Bryan,"146,353","152,504","147,119","153,086","5,943","5,874","5,784","6,387",4.1,3.9,3.9,4.2
Corpus Christi,"210,540","213,296","211,207","213,959","10,191","9,559","10,047","10,637",4.8,4.5,4.8,5
Dallas-Fort Worth-Arlington,"4,521,644","4,542,018","4,516,946","4,559,595","192,151","179,798","190,393","199,210",4.2,4,4.2,4.4
Eagle Pass,"24,120","25,025","24,094","24,874","1,905","2,338","1,656","2,222",7.9,9.3,6.9,8.9
El Paso,"418,228","422,529","417,414","422,478","18,760","18,851","18,671","20,703",4.5,4.5,4.5,4.9
Houston-Pasadena-The Woodlands,"3,840,365","3,883,495","3,852,197","3,893,956","192,855","174,316","184,483","193,308",5,4.5,4.8,5
Killeen-Temple,"203,634","203,960","203,100","205,252","9,935","9,572","10,001","10,642",4.9,4.7,4.9,5.2
Laredo,"119,293","121,886","119,658","122,551","5,398","5,771","5,161","6,090",4.5,4.7,4.3,5
Longview,"129,469","130,015","129,126","130,392","6,551","6,001","6,658","6,647",5.1,4.6,5.2,5.1
Lubbock,"184,739","186,693","184,741","187,509","7,535","7,124","7,058","7,491",4.1,3.8,3.8,4
McAllen-Edinburg-Mission,"396,484","402,191","396,767","403,702","26,665","26,947","25,292","28,591",6.7,6.7,6.4,7.1
Midland,"103,758","106,374","104,102","106,367","3,303","3,330","3,329","3,778",3.2,3.1,3.2,3.6
Odessa,"86,690","87,801","86,770","88,183","3,332","3,333","3,349","3,745",3.8,3.8,3.9,4.2
San Angelo,"62,295","63,398","62,206","63,525","2,182","2,037","2,205","2,318",3.5,3.2,3.5,3.6
San Antonio-New Braunfels,"1,346,564","1,370,696","1,346,832","1,377,043","55,685","53,944","55,334","60,049",4.1,3.9,4.1,4.4
Sherman-Denison,"71,982","72,419","71,818","72,728","3,108","2,835","3,103","3,223",4.3,3.9,4.3,4.4
Texarkana,"62,888","63,330","62,045","63,330","2,860","2,820","2,735","2,984",4.5,4.5,4.4,4.7
Tyler,"119,305","121,242","118,953","120,569","5,006","5,675","4,961","5,214",4.2,4.7,4.2,4.3
Victoria,"45,141","45,330","45,205","45,595","2,055","1,945","2,022","2,254",4.6,4.3,4.5,4.9
Waco,"146,998","149,845","147,523","150,147","6,376","6,102","6,203","6,660",4.3,4.1,4.2,4.4
Wichita Falls,"67,328","67,250","66,862","67,201","2,871","2,623","2,793","2,848",4.3,3.9,4.2,4.2
Utah,"1,843,267","1,848,027","1,839,595","1,836,487","64,797","65,118","65,618","68,990",3.5,3.5,3.6,3.8
Logan,"78,842","78,347","77,976","77,164","2,523","2,456","2,614","2,638",3.2,3.1,3.4,3.4
Ogden,"357,016","356,208","355,268","353,601","11,915","11,964","11,991","12,627",3.3,3.4,3.4,3.6
Provo-Orem-Lehi,"367,137","367,652","368,050","366,330","13,386","13,300","13,780","14,371",3.6,3.6,3.7,3.9
St. George,"91,927","93,344","94,553","94,843","3,579","3,360","3,633","3,623",3.9,3.6,3.8,3.8
Salt Lake City-Murray,"748,510","750,730","743,930","743,076","26,355","27,056","26,489","28,249",3.5,3.6,3.6,3.8
Vermont,"361,536","355,016","359,669","352,504","8,384","8,800","8,789","9,219",2.3,2.5,2.4,2.6
Burlington-South Burlington,"133,328","132,428","132,701","131,740","2,901","3,161","3,000","3,267",2.2,2.4,2.3,2.5
Virginia,"4,638,615","4,590,043","4,591,773","4,542,500","148,904","174,801","150,758","175,560",3.2,3.8,3.3,3.9
Blacksburg-Christiansburg-Radford,"90,826","89,502","90,083","90,383","3,292","3,916","3,605","5,134",3.6,4.4,4,5.7
Charlottesville,"120,905","120,086","120,524","119,850","3,602","4,019","3,549","3,970",3,3.3,2.9,3.3
Harrisonburg,"72,029","70,362","71,671","69,645","2,406","2,652","2,411","2,570",3.3,3.8,3.4,3.7
Lynchburg,"127,254","126,558","127,378","125,551","4,755","5,160","4,762","5,029",3.7,4.1,3.7,4
Richmond,"740,895","740,668","730,837","731,142","24,301","27,119","24,692","27,051",3.3,3.7,3.4,3.7
Roanoke,"159,910","157,402","158,148","155,746","5,319","5,721","5,347","5,839",3.3,3.6,3.4,3.7
Staunton-Stuarts Draft,"65,666","64,418","64,984","63,943","1,964","2,066","1,923","2,082",3,3.2,3,3.3
Virginia Beach-Chesapeake-Norfolk,"897,352","882,522","886,708","871,178","30,604","34,883","30,931","34,865",3.4,4,3.5,4
Winchester,"78,424","77,792","77,397","77,395","2,422","2,585","2,429","2,640",3.1,3.3,3.1,3.4
Washington,"4,086,723","4,020,697","4,071,495","4,044,439","190,319","181,264","188,770","188,175",4.7,4.5,4.6,4.7
Bellingham,"114,204","110,739","113,505","111,310","5,440","4,949","5,466","5,081",4.8,4.5,4.8,4.6
Bremerton-Silverdale-Port Orchard,"122,078","120,129","121,160","121,005","5,695","4,972","5,765","5,177",4.7,4.1,4.8,4.3
Kennewick-Richland,"152,612","149,009","149,984","150,375","7,328","6,938","7,293","6,992",4.8,4.7,4.9,4.6
Longview-Kelso,"47,226","46,230","47,065","46,956","2,500","2,379","2,569","2,508",5.3,5.1,5.5,5.3
Mount Vernon-Anacortes,"60,492","59,301","60,697","59,935","2,965","2,700","3,071","2,791",4.9,4.6,5.1,4.7
Olympia-Lacey-Tumwater,"142,302","140,547","142,217","142,474","6,694","6,218","6,802","6,441",4.7,4.4,4.8,4.5
Seattle-Tacoma-Bellevue,"2,335,292","2,318,193","2,334,812","2,321,358","104,846","102,745","102,088","107,344",4.5,4.4,4.4,4.6
Spokane-Spokane Valley,"279,141","272,815","278,442","275,853","13,169","11,693","13,288","12,086",4.7,4.3,4.8,4.4
Walla Walla,"29,336","29,840","28,477","28,603","1,309","1,207","1,286","1,192",4.5,4,4.5,4.2
Wenatchee-East Wenatchee,"66,945","63,191","63,523","62,485","2,858","2,500","3,167","2,679",4.3,4,5,4.3
Yakima,"130,788","123,617","128,149","126,399","7,096","6,638","7,663","6,915",5.4,5.4,6,5.5
West Virginia,"797,162","789,233","789,973","787,571","35,471","30,566","34,186","34,055",4.4,3.9,4.3,4.3
Beckley,"47,883","46,888","46,819","46,228","2,022","1,847","1,912","2,049",4.2,3.9,4.1,4.4
Charleston,"92,365","91,423","91,349","90,972","4,007","3,502","3,917","3,892",4.3,3.8,4.3,4.3
Huntington-Ashland,"158,812","158,839","157,808","158,825","8,813","8,277","8,194","7,695",5.5,5.2,5.2,4.8
Morgantown,"70,449","70,800","70,153","70,503","2,700","2,309","2,576","2,601",3.8,3.3,3.7,3.7
Parkersburg-Vienna,"40,090","39,521","39,637","39,308","1,794","1,480","1,758","1,649",4.5,3.7,4.4,4.2
Wheeling,"60,306","59,669","59,593","58,901","3,064","2,952","2,867","2,927",5.1,4.9,4.8,5
Wisconsin,"3,223,227","3,174,213","3,194,878","3,144,649","104,121","101,824","93,727","101,456",3.2,3.2,2.9,3.2
Appleton,"139,921","138,479","138,309","136,765","3,930","4,027","3,463","3,900",2.8,2.9,2.5,2.9
Eau Claire,"97,084","96,370","96,091","95,371","2,883","2,887","2,661","2,981",3,3,2.8,3.1
Fond du Lac,"57,418","55,887","55,813","54,999","2,764","1,778","1,841","1,681",4.8,3.2,3.3,3.1
Green Bay,"182,567","182,904","180,627","180,355","5,238","5,293","4,653","5,271",2.9,2.9,2.6,2.9
Janesville-Beloit,"88,636","87,405","87,603","86,301","3,056","3,019","2,769","3,032",3.4,3.5,3.2,3.5
Kenosha,"97,118","96,690","96,654","95,545","3,338","3,304","3,109","3,291",3.4,3.4,3.2,3.4
La Crosse-Onalaska,"90,554","90,869","90,514","89,970","2,610","2,648","2,294","2,579",2.9,2.9,2.5,2.9
Madison,"415,902","406,690","413,157","404,086","10,893","10,823","9,942","10,862",2.6,2.7,2.4,2.7
Milwaukee-Waukesha,"832,388","816,047","829,502","813,687","30,135","30,084","27,994","30,301",3.6,3.7,3.4,3.7
Oshkosh-Neenah,"94,425","92,916","93,588","92,123","2,907","2,866","2,520","2,789",3.1,3.1,2.7,3
Racine-Mount Pleasant,"103,367","101,450","102,577","100,660","4,001","3,880","3,655","3,914",3.9,3.8,3.6,3.9
Sheboygan,"64,832","64,727","63,948","63,834","1,784","1,782","1,605","1,799",2.8,2.8,2.5,2.8
Wausau,"76,411","75,295","75,204","73,763","2,228","2,119","1,869","2,085",2.9,2.8,2.5,2.8
Wyoming,"300,232","293,200","298,527","290,466","9,246","8,151","9,145","7,763",3.1,2.8,3.1,2.7
Casper,"42,436","41,546","42,339","41,227","1,357","1,197","1,338","1,149",3.2,2.9,3.2,2.8
Cheyenne,"49,272","48,142","48,832","47,823","1,655","1,362","1,640","1,375",3.4,2.8,3.4,2.9
Puerto Rico,"1,207,526","1,226,226","1,209,752","1,244,024","72,307","70,121","68,483","79,379",6,5.7,5.7,6.4
Aguadilla,"90,013","90,971","89,863","91,972","6,741","6,369","6,152","7,225",7.5,7,6.8,7.9
Arecibo,"66,138","67,087","66,456","68,352","3,823","4,274","3,520","4,827",5.8,6.4,5.3,7.1
Guayama,"18,947","18,981","19,084","19,371","1,834","1,674","1,993","1,842",9.7,8.8,10.4,9.5
Mayaguez,"65,852","67,819","66,114","69,349","5,460","5,933","5,157","6,971",8.3,8.7,7.8,10.1
Ponce,"88,240","89,125","88,790","91,461","7,865","7,334","7,791","8,861",8.9,8.2,8.8,9.7
San Juan-Bayamon-Caguas,"808,291","822,007","810,547","832,270","41,193","38,373","38,506","42,145",5.1,4.7,4.8,5.1
