State and area,Civilian labor force,,,,Unemployed,,,,,,,
,July,,August,,Number,,,,Percent of labor force,,,
,2024,2025,2024,2025(p),July,,August,,July,,August,
,,,,,2024,2025,2024,2025(p),2024,2025,2024,2025(p)
Mississippi,"1,287,477","1,294,442","1,276,887","1,277,627","47,872","58,756","45,106","53,992",3.7,4.5,3.5,4.2
Gulfport-Biloxi,"191,944","193,087","190,152","189,590","6,348","7,858","6,092","7,423",3.3,4.1,3.2,3.9
Hattiesburg,"70,379","71,006","69,779","69,728","2,518","3,026","2,358","2,779",3.6,4.3,3.4,4
Jackson,"286,731","289,290","284,859","286,669","9,599","11,774","9,047","10,878",3.3,4.1,3.2,3.8
Missouri,"3,177,269","3,205,325","3,133,868","3,185,115","135,627","149,416","121,940","142,560",4.3,4.7,3.9,4.5
Cape Girardeau,"48,282","49,116","48,719","49,967","2,155","2,277","1,845","2,154",4.5,4.6,3.8,4.3
Columbia,"112,369","113,554","110,602","112,114","4,498","5,068","3,966","4,610",4,4.5,3.6,4.1
Jefferson City,"78,172","79,478","77,010","79,157","2,931","3,056","2,682","2,949",3.7,3.8,3.5,3.7
Joplin,"99,873","100,176","98,314","99,463","4,287","4,512","3,747","4,375",4.3,4.5,3.8,4.4
Kansas City,"1,229,700","1,238,394","1,215,652","1,231,384","51,225","55,085","47,357","53,194",4.2,4.4,3.9,4.3
St. Joseph,"56,002","57,378","54,787","56,844","2,531","2,741","2,196","2,554",4.5,4.8,4,4.5
St. Louis(1),"1,519,272","1,519,494","1,494,901","1,503,006","64,448","67,742","58,953","67,048",4.2,4.5,3.9,4.5
Springfield,"247,103","253,426","242,756","250,532","9,585","10,798","8,749","10,438",3.9,4.3,3.6,4.2
Montana,"590,208","585,150","586,818","582,844","17,005","15,793","16,287","16,554",2.9,2.7,2.8,2.8
Billings,"100,411","100,525","99,641","99,752","3,033","2,883","2,837","2,971",3,2.9,2.8,3
Bozeman,"79,999","76,230","79,869","75,987","1,736","1,628","1,732","1,720",2.2,2.1,2.2,2.3
Great Falls,"39,487","38,899","39,322","38,890","1,186","1,097","1,172","1,183",3,2.8,3,3
Helena,"48,581","48,465","48,333","48,167","1,317","1,225","1,244","1,312",2.7,2.5,2.6,2.7
Missoula,"74,737","73,594","74,184","73,244","2,062","1,918","2,024","1,965",2.8,2.6,2.7,2.7
Nebraska,"1,082,414","1,098,434","1,070,807","1,095,149","33,180","34,930","30,282","31,058",3.1,3.2,2.8,2.8
Grand Island,"43,570","44,173","42,865","43,596","1,332","1,760","1,134","1,287",3.1,4,2.6,3
Lincoln,"194,186","200,386","193,652","200,714","5,140","5,861","5,304","5,537",2.6,2.9,2.7,2.8
Omaha,"534,816","543,501","528,924","542,766","17,722","18,613","16,253","17,234",3.3,3.4,3.1,3.2
Nevada,"1,657,562","1,673,932","1,652,886","1,672,835","101,531","94,191","97,111","88,110",6.1,5.6,5.9,5.3
Carson City,"29,677","29,940","29,491","30,026","1,457","1,309","1,400","1,196",4.9,4.4,4.7,4
Las Vegas-Henderson-North Las Vegas,"1,227,030","1,239,237","1,222,993","1,237,110","78,711","73,966","75,199","69,732",6.4,6,6.1,5.6
Reno,"299,212","302,177","298,513","302,639","15,545","13,787","14,938","12,634",5.2,4.6,5,4.2
New Hampshire,"782,707","781,550","780,339","782,836","22,017","24,343","21,750","23,832",2.8,3.1,2.8,3
Manchester-Nashua,"241,795","243,752","241,018","244,394","7,280","8,254","7,082","7,853",3,3.4,2.9,3.2
New Jersey,"4,974,752","4,941,472","4,933,691","4,907,206","262,581","275,999","244,482","276,930",5.3,5.6,5,5.6
Atlantic City-Hammonton,"197,591","191,406","194,843","190,351","11,592","12,343","10,686","12,344",5.9,6.4,5.5,6.5
Trenton-Princeton,"201,975","201,284","200,270","199,807","10,606","11,534","9,872","11,485",5.3,5.7,4.9,5.7
Vineland,"65,576","66,790","65,781","66,689","5,363","5,720","5,040","5,681",8.2,8.6,7.7,8.5
New Mexico,"991,546","995,423","984,813","985,573","52,843","51,777","44,565","42,060",5.3,5.2,4.5,4.3
